"시군구별",2016,2017,2018,2019,2020,2021,2022
"시군구별",합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율
"서울특별시",0.940,0.836,0.761,0.717,0.642,0.626,0.593
"부산광역시",1.095,0.976,0.899,0.827,0.747,0.728,0.723
"대구광역시",1.186,1.067,0.987,0.932,0.807,0.785,0.757
"인천광역시",1.144,1.007,1.006,0.940,0.829,0.778,0.747
"광주광역시",1.168,1.053,0.972,0.913,0.811,0.896,0.844
"대전광역시",1.192,1.075,0.952,0.883,0.805,0.810,0.842
"울산광역시",1.418,1.261,1.131,1.084,0.984,0.940,0.848
"세종특별자치시",1.821,1.668,1.566,1.472,1.277,1.277,1.121
"경기도",1.194,1.069,1.002,0.943,0.878,0.853,0.839
"강원도",1.237,1.123,1.067,1.082,1.036,0.979,0.968
"충청북도",1.358,1.235,1.172,1.050,0.983,0.949,0.871
"충청남도",1.395,1.276,1.186,1.112,1.029,0.963,0.909
"전라북도",1.251,1.151,1.044,0.971,0.909,0.850,0.817
"전라남도",1.466,1.325,1.240,1.234,1.145,1.017,0.969
"경상북도",1.396,1.256,1.167,1.089,1.003,0.966,0.930
"경상남도",1.358,1.227,1.122,1.046,0.945,0.903,0.838
"제주특별자치도",1.432,1.305,1.220,1.145,1.021,0.951,0.919
